subset,comparison,delta_r2,ci_lo,ci_hi,frac_positive
matched_NGG,DeepOC_minus_features,0.11510731418356435,0.10265344262423227,0.1277989890090643,1.0
matched_NGG,combined_minus_DeepOC,0.01095590934256263,0.006282633915441982,0.015719520264146598,1.0
matched_NGG,ceiling_minus_DeepOC,0.06660373740036019,0.051555329259599346,0.08182806578713626,1.0
matched_nonNGG,DeepOC_minus_features,0.2878701516810944,0.22026746307730788,0.37359351722106743,1.0
matched_nonNGG,combined_minus_DeepOC,-0.12026344911380538,-0.1708152037665639,-0.07996419660084812,0.0
matched_nonNGG,ceiling_minus_DeepOC,0.15309791159442432,0.07734826005487408,0.23299613027503013,1.0
matched_all,DeepOC_minus_features,0.0623179747708954,0.05620645225809627,0.06864573932893482,1.0
matched_all,combined_minus_DeepOC,0.003843525891044308,0.0017331802302280735,0.006027715172708027,1.0
matched_all,ceiling_minus_DeepOC,0.024081481009568306,0.016607669391016065,0.03174388723885784,1.0
