subset,subset_label,n,rho,rho_lo,rho_hi,r2_ceiling,r2_ceiling_lo,r2_ceiling_hi,r2_ceiling_conservative,r2_ceiling_conservative_lo,r2_ceiling_conservative_hi
matched_NGG,"Matched, NGG PAM (on-target)",8807,0.8682285433542444,0.8608609488623511,0.8749000232203775,0.8682285433542444,0.8608609488623511,0.8749000232203775,0.753820803495033,0.7410815732834757,0.7654500506360581
matched_nonNGG,"Matched, non-NGG PAM (on-target)",1651,0.8799956908443917,0.8557246456308444,0.9001336541306366,0.8799956908443917,0.8557246456308444,0.9001336541306366,0.7743924159046982,0.7322646691470858,0.8102405953494538
matched_all,"Matched, all PAM (on-target)",10458,0.9352418649914658,0.9320285463051361,0.9383018124862759,0.9352418649914658,0.9320285463051361,0.9383018124862759,0.8746773460327151,0.8686772111622625,0.880410291315205
