model,mean_spearman,std_spearman,mean_pearson,std_pearson
CatBoost,0.6404468861151988,0.11702406355534162,0.6199371788476363,0.13054829102334975
XGBoost,0.6340353476205894,0.1065378879137971,0.6546595573334877,0.09636258614905173
GradientBoosting,0.6146142906923348,0.10050516542615269,0.6353286420994854,0.09879502874534278
LightGBM,0.6131439229767768,0.12178211434300196,0.6386643264884276,0.1088609702118178
MLP,0.5630150652942092,0.09795361080187658,0.5510741063908983,0.10875833981329049
ExtraTrees,0.4957942790445535,0.1346738080312569,0.5848800524644091,0.10087934504387884
RandomForest,0.4935099802673074,0.13877729619755605,0.5792205347683009,0.09112363895261677
Bagging,0.49017234431843537,0.14063700379777638,0.57764333530083,0.09208303843012408
LinearSVR,0.4900930969761067,0.1412573062119777,0.45334160821365577,0.16349357986588728
ElasticNet,0.46520456162853574,0.15996345913755977,0.45776920671281135,0.1768512558388627
Lasso,0.4651718897095143,0.15704035690748464,0.45547014420794624,0.17355001570725093
BayesianRidge,0.4643737286886343,0.15760690461766072,0.4535177215178707,0.17501408354198897
Ridge,0.46414287860306896,0.15315785250814828,0.44873865777209254,0.1705757518341469
LinearRegression,0.46410764309901464,0.15295682350056866,0.44855358931890843,0.17038590977804535
SGD,0.43793629524924926,0.1767004772358424,0.4284774009589386,0.19640374825392104
DecisionTree,0.39024321410281815,0.03737869835965318,0.4657543768916934,0.04323428541549424
AdaBoost,0.37747136126224773,0.21311718671351174,0.3411956898083911,0.20284219033757975
KNN_10,0.19374292462564974,0.24603062146451404,0.19886488815540665,0.2596462778756518
KNN_5,0.17337428068930014,0.21735339268126327,0.19074909565934411,0.23497320251770576
