model,mean_spearman,std_spearman,mean_pearson,std_pearson
LightGBM,0.49119262418887544,0.12336306697766908,0.5409280180068323,0.1004699688785024
GradientBoosting,0.4895672401642509,0.13719918276015022,0.5361917598185685,0.1199042202090577
CatBoost,0.4770863419824144,0.11003375989286683,0.5169083995471868,0.09957250305963566
XGBoost,0.4720636900079006,0.13454848488597354,0.5281588716833812,0.10836050939218365
ExtraTrees,0.4476454891854121,0.1266834249723097,0.5215171421721667,0.09917728924082181
MLP,0.4259696469158579,0.12424517438034907,0.4561231182901163,0.11775370623516228
LinearSVR,0.4006807930860018,0.08975831370651693,0.42479431359031505,0.09949648201832997
RandomForest,0.3907601743900809,0.14282944766524686,0.4661170818308902,0.09788663844520082
ElasticNet,0.38180421859174196,0.10321366001625379,0.4111912397742496,0.11464661455332026
Lasso,0.37991135447446384,0.10234991216313742,0.4090601306960382,0.11322812366033211
BayesianRidge,0.3784741422004407,0.10178400493303486,0.4074877139235878,0.11267362053404645
Ridge,0.37831551099691163,0.1013865647906813,0.4070990371784907,0.11227692397337521
LinearRegression,0.3781833596738016,0.10133061473226722,0.4069667159031061,0.11223472271375132
Bagging,0.37731802713958346,0.14749395016152445,0.4581484662698469,0.10333424816023482
SGD,0.3768841972356164,0.10720806516535163,0.40445471969526176,0.1191353470941593
KNN_10,0.339255110762335,0.0648758899218045,0.38104377220745406,0.0917500923769965
KNN_5,0.3349749690927464,0.052143945796704796,0.3865932823618218,0.06879685391531058
AdaBoost,0.3272787184801246,0.1612614856797042,0.236535493877622,0.2022514803780061
DecisionTree,0.3198746017742572,0.11938555148631746,0.36888431265821275,0.10352164132695481
