model,fold,spearman,pearson
LinearRegression,0,0.24694364404377375,0.2443784463721095
LinearRegression,1,0.5110788615583456,0.5384365812875143
LinearRegression,2,0.44142341253339334,0.48235438601625785
LinearRegression,3,0.352117340125179,0.38340444894123604
LinearRegression,4,0.3393535401083164,0.38625971689841315
Ridge,0,0.2473014690866484,0.24465917427955455
Ridge,1,0.5112797808691402,0.53859139803574
Ridge,2,0.44190750169918824,0.4828542380210052
Ridge,3,0.3519057436893535,0.3831516181081991
Ridge,4,0.33918305964022766,0.3862387574479548
Lasso,0,0.2526127687572116,0.24894604436190043
Lasso,1,0.515956758959578,0.5431168019216709
Lasso,2,0.44585201708664274,0.48807787673592884
Lasso,3,0.3476398494304218,0.37880387648409264
Lasso,4,0.33749537813846514,0.38635605397659806
ElasticNet,0,0.26104066405413107,0.25429772205051215
ElasticNet,1,0.5186880593432011,0.5459565718228983
ElasticNet,2,0.45457602866867697,0.4983524648101175
ElasticNet,3,0.34207928043318336,0.37210254259186104
ElasticNet,4,0.3326370604595174,0.385246897595859
BayesianRidge,0,0.24826875839839999,0.24548309933633983
BayesianRidge,1,0.512197228677917,0.5395823717934264
BayesianRidge,2,0.44326540833144185,0.48467983269044373
BayesianRidge,3,0.35038855539791286,0.381559642743962
BayesianRidge,4,0.3382507601965317,0.38613362305376686
SGD,0,0.24109932818641827,0.23529947748580785
SGD,1,0.5191256161358669,0.5464607886421381
SGD,2,0.44444014432767487,0.48490023253225634
SGD,3,0.3407128718583241,0.3706660428295479
SGD,4,0.3390430256697976,0.3849470569865584
LinearSVR,0,0.2899409625965449,0.28575033831971225
LinearSVR,1,0.5339564644640087,0.5606309757128961
LinearSVR,2,0.4297643049114364,0.4605394366985927
LinearSVR,3,0.3782159210769726,0.40674980506372826
LinearSVR,4,0.3715263123810461,0.4103010121566458
KNN_5,0,0.39926862044156586,0.4990218788915393
KNN_5,1,0.3779095617382044,0.3802528623999408
KNN_5,2,0.31691500319718957,0.3553218946128209
KNN_5,3,0.30767171841623453,0.3843627400422759
KNN_5,4,0.2731099416705375,0.314007035862532
KNN_10,0,0.42591067606239424,0.5283953233550243
KNN_10,1,0.38482441349683455,0.37413171539731294
KNN_10,2,0.305519510983901,0.33744513220107514
KNN_10,3,0.31512638145750105,0.38420892784186567
KNN_10,4,0.2648945718110441,0.2810377622419921
DecisionTree,0,0.24978508960351217,0.35766358755295785
DecisionTree,1,0.4336791813761123,0.450653314559541
DecisionTree,2,0.39930558943793976,0.4490800668043876
DecisionTree,3,0.14592751067982235,0.19795706150414158
DecisionTree,4,0.3706756377738994,0.389067532870036
RandomForest,0,0.2844571486521361,0.43060491929295497
RandomForest,1,0.5129565077325614,0.5310342088357667
RandomForest,2,0.5306993004895627,0.557641111450702
RandomForest,3,0.20411517890172398,0.31301546999421737
RandomForest,4,0.42157273617442065,0.4982896995808097
ExtraTrees,0,0.3486881807448599,0.45029856678220825
ExtraTrees,1,0.5704496450771795,0.6116848815075716
ExtraTrees,2,0.5922699879773049,0.6345439976191993
ExtraTrees,3,0.31750879129598186,0.4072677234226712
ExtraTrees,4,0.4093108408317341,0.5037905415291835
GradientBoosting,0,0.3589560707262013,0.4417814741715137
GradientBoosting,1,0.6441484200600328,0.6615901961511784
GradientBoosting,2,0.632452092690424,0.6652899316615586
GradientBoosting,3,0.40746088931899715,0.41497904110229134
GradientBoosting,4,0.4048187280255988,0.4973181560063006
AdaBoost,0,0.1517222200777261,0.11628480991370911
AdaBoost,1,0.5775173706630684,0.461989243874547
AdaBoost,2,0.3722734028996804,0.35562417093237303
AdaBoost,3,0.293858147987143,0.2961416512411027
AdaBoost,4,0.24102245077300494,-0.047362406573621785
Bagging,0,0.27658918734733196,0.42061450026914937
Bagging,1,0.4937929082406282,0.5166992343970269
Bagging,2,0.5217115160644694,0.5601000660651967
Bagging,3,0.17552449682470928,0.2968641308328094
Bagging,4,0.41897202722077875,0.49646439978505236
XGBoost,0,0.3741506491736695,0.4746829723994392
XGBoost,1,0.6156444371599485,0.6279280373080856
XGBoost,2,0.6219424870173724,0.6523747406294865
XGBoost,3,0.3565716157602502,0.39714309195435904
XGBoost,4,0.3920092609282624,0.48866551612553555
LightGBM,0,0.3766441193698906,0.46501932073853103
LightGBM,1,0.6215566505836969,0.641425775388264
LightGBM,2,0.628557246055219,0.6540603489769334
LightGBM,3,0.42344925607550793,0.43865763873098623
LightGBM,4,0.40575584886006283,0.5054770061994474
CatBoost,0,0.36555440434179226,0.4072557012103493
CatBoost,1,0.5542153214539483,0.5841500730645861
CatBoost,2,0.6287838502145898,0.6479474927604143
CatBoost,3,0.40976955325775044,0.4408542854155897
CatBoost,4,0.4271085806439912,0.5043344452849948
MLP,0,0.27100676807190444,0.3205919038338492
MLP,1,0.382488427018447,0.40093096651489235
MLP,2,0.5919463442382584,0.6065836657412875
MLP,3,0.5045251455468488,0.5490553998986878
MLP,4,0.37988154970383115,0.4034536554618646
