fold,spearman,pearson,on_spearman,on_pearson,off_spearman,off_pearson
0,0.87309901298778,0.9183415,0.8506883911057288,0.9169878,0.8350225391692571,0.86496806
1,0.9018320980744923,0.9329879,0.8764351315465799,0.9290654,0.7296965746064574,0.8091383
2,0.9008258193503283,0.93930006,0.877238141163801,0.9366652,0.7689437262469365,0.82016194
3,0.8783542482578381,0.9257074,0.8241648740302984,0.9132925,0.7007913833954154,0.7685059
4,0.8634670258764783,0.90720695,0.8237754257065395,0.89884865,0.7951893401638876,0.80134755
