stratum,n,pearson,spearman,r2
matched_NGG,8807,0.8337216309063593,0.7646663830093354,0.6872170660946728
matched_nonNGG,1651,0.8005548154145163,0.43385493805691766,0.6212945043102738
off-target,2017,0.8146850510906704,0.7654982560140985,0.6421533171966132
ALL,12475,0.9268691671911479,0.886091889676345,0.8585022796713075
