feature,mean_abs_shap
Tm_target_PAM,3.0194045319136693
MFE_sgRNA,2.856488884431642
GC_target_PAM,2.475684353455436
Tm_target_PAM_proximal,2.407104732372331
GC_spacer,1.6151995167511968
GC_target_PAM_proximal,1.58016238648896
GC_target,1.3653931242512167
Tm_spacer,1.3086996105066138
MFE_spacer,1.0286241098816917
Tm_target_5p_context,1.0237348395585388
Tm_target,0.9127133191533686
Tm_target_3p_context,0.7872768463659481
Tm_target_PAM_distal,0.76146662328799
GC_target_PAM_distal,0.47736971027332165
GC_target_5p_context,0.35465759297829474
GC_target_3p_context,0.08662648277931273
