feature,mean_abs_shap
GC_target_PAM,3.7095750500776425
MFE_sgRNA,3.17528648433671
Tm_target_PAM,3.0009351793228043
MFE_spacer,1.3094037077131675
Tm_target_5p_context,0.876075776883904
Tm_spacer,0.7804542987770149
GC_target,0.7172043383279774
Tm_target_PAM_proximal,0.7030429508291456
GC_spacer,0.6211058755118165
GC_target_PAM_distal,0.6096806504780644
Tm_target_3p_context,0.5993567167174944
Tm_target_PAM_distal,0.5672120363132347
Tm_target,0.29868835070033367
GC_target_PAM_proximal,0.19014756917459605
GC_target_3p_context,0.09551878709889751
GC_target_5p_context,0.07612684005874165
